# 발생년도,구분,발생건수,구성비(%),증감수,증감률
# 강원1,경기2,경남3,경북4,광주5,대구6,대전7,부산8,서울9
# 세종10,울산11,인천12,전남13,전북14,제주15,충남16,충북17
2014,1,218,4.8,-9,-4
2014,2,872,19,-45,-4.9
2014,3,401,8.7,-45,-10.1
2014,4,464,10.1,-41,-8.1
2014,5,99,2.2,-5,-4.8
2014,6,182,4,19,11.7
2014,7,99,2.2,8,8.8
2014,8,163,3.6,-47,-22.4
2014,9,386,8.4,14,3.8
2014,10,20,0.4,0,0
2014,11,103,2.2,-16,-13.4
2014,12,144,3.1,-6,-4
2014,13,400,8.7,-35,-8
2014,14,317,6.9,-35,-9.9
2014,15,86,1.9,-14,-14
2014,16,387,8.4,-5,-1.3
2014,17,242,5.3,-31,-11.4